normalized_name,parent_cik,parent_name,source_year,decided_by,decided_at,note
gannett publishing services,1579684,"Gannett Co., Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Gannett Publishing Services is a subsidiary of Gannett Co., Inc., a publicly traded company. Parent CIK from the EDGAR roster (exact)."
bae systems san diego ship repair,895564,BAE Systems plc,,deepseek/deepseek-v4-flash,2026-07-27,"A subsidiary of BAE Systems plc, which files with the SEC as a foreign private issuer. Parent CIK from the EDGAR roster (exact:listed)."
amazonfresh,1018724,"Amazon.com, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Amazon's grocery subsidiary, wholly owned by Amazon.com, Inc."
ritz carlton naples,1048286,"Marriott International, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"The Ritz-Carlton, Naples is part of Marriott International."
ipic theaters,62234,The Marcus Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"IPIC Theaters LLC is a subsidiary of Marcus Theatres, which is owned by The Marcus Corporation (NYSE: MCS). Parent CIK from the EDGAR roster (exact)."
eg g florida inc p o box 21267 kennedy space center fl 32815,31791,EG&G Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Subsidiary of EG&G Inc., a public company at the time. Parent CIK from the EDGAR roster (exact)."
john deere waterloo works,315189,Deere & Company,,deepseek/deepseek-v4-flash,2026-07-27,John Deere facility; parent Deere & Company is public.
ogden entertainment,73902,Ogden Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Ogden Entertainment was a division of Ogden Corporation, a public company until 2005. Parent CIK from the EDGAR roster (exact)."
csc applied technology group,23082,Computer Sciences Corporation,,deepseek/deepseek-v4-flash,2026-07-27,CSC Applied Technology Group was a unit of Computer Sciences Corporation (NYSE: CSC). Parent CIK from the EDGAR roster (exact).
hcal llc dba harrah s resort southern california,1590895,Caesars Entertainment Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"HCAL is a subsidiary of Caesars Entertainment, a public company."
northrup grumman technical services,1133421,Northrop Grumman Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Northrup Grumman Technical Services is a subsidiary of Northrop Grumman, a public company. Parent CIK from the EDGAR roster (exact)."
cb i project servicesgroup,708819,"McDermott International, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,CB&I was a public company acquired by McDermott in 2018; this layoff is likely under McDermott's subsidiary. Parent CIK from the EDGAR roster (exact).
bon apetite,1317627,Compass Group PLC,,deepseek/deepseek-v4-flash,2026-07-27,"Bon Appetit Management Company is a subsidiary of Compass Group, a public UK company. Parent CIK from the EDGAR roster (exact)."
ultium cells general motors,1467858,General Motors Company,,deepseek/deepseek-v4-flash,2026-07-27,"Ultium Cells is a joint venture between General Motors and LG Energy Solution, with GM as a major parent and SEC registrant."
gm warren technical center,1467858,General Motors Company,,deepseek/deepseek-v4-flash,2026-07-27,"Part of General Motors, a public SEC registrant."
toyota motor engineering manufacturing,1094517,Toyota Motor Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"U.S. division of Toyota, which files with the SEC."
fluor federal,1124198,Fluor Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Fluor Federal is a division of Fluor Corporation, a public company. Parent CIK from the EDGAR roster (exact)."
expo design center expo,354950,"The Home Depot, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Former subsidiary of The Home Depot, a public company."
buena vista construction,1744489,The Walt Disney Company,,deepseek/deepseek-v4-flash,2026-07-27,Buena Vista Construction is likely a Disney subsidiary operating near Disney World.
ups cartage services,1090727,"United Parcel Service, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"UPS Cartage Services is a subsidiary of UPS, a public company."
ritz carlton lake tahoe,1048286,Marriott International Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Ritz-Carlton is a Marriott brand; specific hotel property likely a subsidiary. Parent CIK from the EDGAR roster (exact).
united space alliance llc jsc houston2,12927,The Boeing Company,,deepseek/deepseek-v4-flash,2026-07-27,Joint venture between Boeing and Lockheed; Boeing is the managing partner and files with SEC.
general motors corporation buick oldsmobile cadillac group,1467858,General Motors Company,,deepseek/deepseek-v4-flash,2026-07-27,Division of General Motors
jp morgan chase mortgage bank,19617,JPMorgan Chase & Co.,,deepseek/deepseek-v4-flash,2026-07-27,Division of JPMorgan Chase
alcoa intalco works,1675149,Alcoa Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Alcoa Intalco Works is a plant of Alcoa, a public company."
capital one plano,927628,Capital One Financial Corp,,deepseek/deepseek-v4-flash,2026-07-27,"Capital One-Plano is a location of Capital One, a public company."
patrick cudahy,91388,"Smithfield Foods, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Patrick Cudahy Incorporated is a brand of Smithfield Foods, which was public until 2013. Parent CIK from the EDGAR roster (exact)."
levy premium foodservice lp dba levy at allegiant stadium,1317627,Compass Group PLC,,deepseek/deepseek-v4-flash,2026-07-27,"Levy Premium Foodservice LP is a subsidiary of Compass Group, which files with SEC. Parent CIK from the EDGAR roster (exact)."
cub foods super discount markets,95521,Supervalu Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Cub Foods is a supermarket chain owned by Supervalu, a public company at the time. Parent CIK from the EDGAR roster (exact)."
verizon wireless irvine,732712,Verizon Communications Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Verizon Wireless is a subsidiary of Verizon Communications.
lago resort casino llc dba del lago resort casino,1056903,"Penn Entertainment, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Lago Resort & Casino is operated by Penn Entertainment, a public company"
wyndham vacation ownership,1361658,Travel + Leisure Co.,,deepseek/deepseek-v4-flash,2026-07-27,Timeshare branch of publicly traded Travel + Leisure Co. (formerly Wyndham Destinations). Parent CIK from the EDGAR roster (exact).
universal television,1166691,Comcast Corporation,,deepseek/deepseek-v4-flash,2026-07-27,TV production unit wholly owned by Comcast NBCUniversal.
kyocera wireless,57083,Kyocera Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Kyocera Wireless Corp. is a subsidiary of Kyocera Corporation, a publicly traded company. Parent CIK from the EDGAR roster (exact)."
fluor federal solutions,1124198,Fluor Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Fluor Federal Solutions is a subsidiary of Fluor Corporation, a publicly traded company. Parent CIK from the EDGAR roster (exact)."
hyatt regency orlando,1468174,Hyatt Hotels Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Hyatt Regency hotel, owned by Hyatt Hotels Corporation (public)."
ritz carlton los angeles jw marriott l a live,1048286,"Marriott International, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Ritz-Carlton hotel, part of Marriott International (public)."
hoosier park llc dba harrah s hoosier park racing and casino,1590895,Caesars Entertainment Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Hoosier Park, LLC is a subsidiary of Caesars Entertainment, a publicly traded casino operator."
macys cheshire fulfillment center,794367,"Macy's, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Fulfillment center of Macy's, Inc., a publicly traded company. Parent CIK from the EDGAR roster (exact)."
sara lee bakery group,23666,Sara Lee Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Bakery division of Sara Lee Corporation, which was publicly traded at the time. Parent CIK from the EDGAR roster (exact)."
mattel murray,63276,Mattel Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Mattel-Murray is a facility of Mattel Inc., a publicly traded company."
desert springs hospital dba desert springs medical group,352915,"Universal Health Services, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Desert Springs Hospital is part of the Valley Health System, a subsidiary of UHS."
textron pcd,217346,Textron Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Textron PCD is a division of Textron Inc., a public company with CIK 217346."
carlisle interconnect technologies,790051,Carlisle Companies Incorporated,,deepseek/deepseek-v4-flash,2026-07-27,Carlisle Interconnect Technologies is a subsidiary of Carlisle Companies Incorporated. Parent CIK from the EDGAR roster (exact).
ups supply chain solutions,1090727,"United Parcel Service, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"UPS Supply Chain Solutions is a subsidiary of United Parcel Service, Inc."
levy restaurants,1317627,Compass Group PLC,,deepseek/deepseek-v4-flash,2026-07-27,Levy Restaurants is a subsidiary of Compass Group PLC. Parent CIK from the EDGAR roster (exact).
brotman medical center tenet california,70318,Tenet Healthcare Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Brotman Medical Center is a Tenet Healthcare hospital.
wells fargo home mortgage,72971,Wells Fargo & Company,,deepseek/deepseek-v4-flash,2026-07-27,"Wells Fargo Home Mortgage is a division of Wells Fargo Bank, a subsidiary of Wells Fargo & Company."
aramark sports entertainment svcs,1584509,Aramark,,deepseek/deepseek-v4-flash,2026-07-27,"Aramark Sports & Entertainment Svcs, LLC is a subsidiary of Aramark, a public company. Parent CIK from the EDGAR roster (exact)."
siemens energy and automation,1173786,Siemens AG,,deepseek/deepseek-v4-flash,2026-07-27,"US subsidiary of Siemens AG, a German public company. Parent CIK from the EDGAR roster (suffix)."
sikorsky support services,101829,United Technologies Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Sikorsky Support Services is a subsidiary of United Technologies Corporation via Sikorsky. Parent CIK from the EDGAR roster (exact).
america on line aol,1105705,Time Warner Inc.,,deepseek/deepseek-v4-flash,2026-07-27,America On Line (AOL) was a subsidiary of Time Warner Inc. in 2006. Parent CIK from the EDGAR roster (exact).
sears catalog direct marketing home office unit,319256,"Sears, Roebuck and Co.",,deepseek/deepseek-v4-flash,2026-07-27,"Division of Sears, Roebuck and Co., a public company at the time. Parent CIK from the EDGAR roster (fuzzy:0.95)."
lockheed martin corporation information systems,936468,Lockheed Martin Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Lockheed Martin Corporation is a public company and the parent of this division.
aramark educational services duval county public schools 2924 knights lane e jacksonville fl 32216,1584509,Aramark,,deepseek/deepseek-v4-flash,2026-07-27,ARAMARK is a public company; this is its educational services division.
safran cabin,1364012,Safran SA,,deepseek/deepseek-v4-flash,2026-07-27,"Safran Cabin is a subsidiary of Safran SA, a French publicly traded company. Parent CIK from the EDGAR roster (exact:post-era)."
bechtel national,1110785,"Bechtel Group, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Bechtel National is a subsidiary of privately held Bechtel Group, Inc. Parent CIK from the EDGAR roster (exact:post-era)."
hilton orlando bonnet creek and waldorf astoria orlando,1585689,Hilton Worldwide Holdings Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Hotels operated by Hilton Worldwide, a publicly traded company. Parent CIK from the EDGAR roster (exact)."
whittier hospital medical center tenet california,70318,Tenet Healthcare Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Hospital operated by Tenet Healthcare, a publicly traded company. Parent CIK from the EDGAR roster (exact)."
invista,923338,"Koch Industries, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Invista is a wholly owned subsidiary of privately held Koch Industries. Parent CIK from the EDGAR roster (exact).
kraft foods global,1103982,Kraft Foods Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Kraft Foods Global Inc. was a subsidiary of Kraft Foods Inc., which was publicly traded. Parent CIK from the EDGAR roster (exact)."
fedex supply chain logistics electrronics inc coppell,1048911,FedEx Corporation,,deepseek/deepseek-v4-flash,2026-07-27,FedEx Supply Chain is a subsidiary of FedEx Corporation
nabors well services,1000753,Nabors Industries Ltd.,,deepseek/deepseek-v4-flash,2026-07-27,Nabors Well Services is a subsidiary of Nabors Industries
akorn operating,1000209,"Akorn, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Akorn Operating Company is a subsidiary of Akorn, Inc."
delta faucet,62996,Masco Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Delta Faucet is a brand of Masco Corporation
husqvarna consumeroutdoor,1361124,Husqvarna AB,,deepseek/deepseek-v4-flash,2026-07-27,US subsidiary of Swedish public company Parent CIK from the EDGAR roster (exact:post-era).
general dynamics it waco,40533,General Dynamics Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"IT division of General Dynamics, a public company."
first data teleservices 5031 commerce park circle pensacola fl 32505,883980,First Data Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"First Data Teleservices is a division of First Data Corporation, which was public in 2000. Parent CIK from the EDGAR roster (exact)."
hyatt regency century plaza,1468174,Hyatt Hotels Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Hyatt Regency Century Plaza is part of publicly traded Hyatt Hotels Corporation. Parent CIK from the EDGAR roster (exact).
crothall and morrison healthcare,1317627,Compass Group PLC,,deepseek/deepseek-v4-flash,2026-07-27,Crothall and Morrison Healthcare are divisions of Compass Group. Parent CIK from the EDGAR roster (exact).
johnson controls interior mfg us,53669,Johnson Controls International plc,,deepseek/deepseek-v4-flash,2026-07-27,"Wholly owned subsidiary of Johnson Controls, a public company."
ford motor company batavia transmissions,37996,Ford Motor Company,,deepseek/deepseek-v4-flash,2026-07-27,"Wholly owned subsidiary of Ford Motor Company, a public company."
sony dadc us,313838,Sony Group Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Sony DADC US Inc. is a subsidiary of Sony Group Corporation.
sea ray sport,14930,Brunswick Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Sea Ray is a brand of Brunswick Corporation (public, NYSE: BC). Parent CIK from the EDGAR roster (exact)."
northrop grumman technical srvcs lss contract,1133421,Northrop Grumman Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Northrop Grumman Technical Services is a division of Northrop Grumman Corporation (NYSE: NOC). Parent CIK from the EDGAR roster (exact).
barclays services,312070,Barclays PLC,,deepseek/deepseek-v4-flash,2026-07-27,"Subsidiary of Barclays, a UK-based global bank."
ups scs hebron building k facility,1090727,"United Parcel Service, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Facility of UPS Supply Chain Solutions, a subsidiary of UPS."
vf imagewear wrangler,103379,VF Corporation,,deepseek/deepseek-v4-flash,2026-07-27,VF Imagewear is a division of publicly traded VF Corporation.
georgia pacific corrugated,923338,Koch Industries,,deepseek/deepseek-v4-flash,2026-07-27,"Georgia-Pacific is owned by Koch Industries, a private company. Parent CIK from the EDGAR roster (exact)."
heinz pet products,46640,H.J. Heinz Company,,deepseek/deepseek-v4-flash,2026-07-27,"Heinz Pet Products is a division of H.J. Heinz Company, an SEC filer at the time."
olam west coast,1275158,Olam International,,deepseek/deepseek-v4-flash,2026-07-27,"Olam West Coast Inc. is a subsidiary of Olam International, which files with the SEC."
american eagle executive airlines,6201,American Airlines Group,,deepseek/deepseek-v4-flash,2026-07-27,American Eagle & Executive Airlines is a subsidiary of American Airlines Group.
macy s strawbridge s,794367,"Macy's, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Macy’s/Strawbridge’s is a division of Macy's, Inc."
chase card services,19617,JPMorgan Chase & Co.,,deepseek/deepseek-v4-flash,2026-07-27,"Chase Card Services is a division of JPMorgan Chase, a public company."
meridian yacht us marine,14930,Brunswick Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Meridian Yacht is a brand of US Marine, a subsidiary of Brunswick Corporation. Parent CIK from the EDGAR roster (exact:listed)."
smithfield packing 4611 lykes road plant city fl 33566,91388,Smithfield Foods Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Smithfield Packing is a subsidiary of Smithfield Foods, which is publicly traded. Parent CIK from the EDGAR roster (exact)."
fca u s,1605484,Fiat Chrysler Automobiles N.V.,,deepseek/deepseek-v4-flash,2026-07-27,"Subsidiary of Fiat Chrysler Automobiles, now part of Stellantis."
pulte building services pbs,822416,"PulteGroup, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Subsidiary of PulteGroup, a public homebuilder."
bae systems technical services inc 557 mary esther cut off fort walton beach fl 32548 4090,895564,BAE Systems PLC,,deepseek/deepseek-v4-flash,2026-07-27,"Subsidiary of BAE Systems PLC, a UK-based defense contractor. Parent CIK from the EDGAR roster (exact:listed)."
shell convent refinery,1306965,Shell plc,,deepseek/deepseek-v4-flash,2026-07-27,"Shell Convent Refinery is owned by Shell Oil, a subsidiary of Shell plc. Parent CIK from the EDGAR roster (exact)."
hilton chicago magnificent mile,1585689,Hilton Worldwide Holdings Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Hilton Chicago Magnificent Mile is owned and operated by Hilton Worldwide, a public company."
harrah s,1590895,Caesars Entertainment Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Harrah's is a brand of Caesars Entertainment, a publicly traded company."
live nation clubs theaters the wiltern,1335258,Live Nation Entertainment Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Live Nation Clubs & Theaters is a subsidiary of Live Nation Entertainment.
southstar llc kroger facility,56873,Kroger Co.,,deepseek/deepseek-v4-flash,2026-07-27,"Southstar LLC may be a subsidiary of Kroger, as indicated by 'Kroger Facility'."
manchester grand hyatt,1468174,Hyatt Hotels Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Manchester Grand Hyatt is a hotel owned by Hyatt Hotels, a public company."
robinsons may,794367,"Macy's, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Robinsons-May was part of Federated Department Stores, now Macy's."
sema4 opco,1818331,Sema4 Holdings Corp.,,deepseek/deepseek-v4-flash,2026-07-27,Operating subsidiary of Sema4 Holdings.
raytheon technical services co llc ft bliss,1047122,Raytheon Company,,deepseek/deepseek-v4-flash,2026-07-27,Subsidiary of defense contractor Raytheon.
sony music holdings,313838,Sony Group Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Subsidiary of Sony.
vf jeanswear oneonta,103379,VF Corporation,,deepseek/deepseek-v4-flash,2026-07-27,VF Jeanswear is a division of VF Corporation
nacco industries inc s materials handling,789073,"NACCO Industries, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Materials Handling division of NACCO Industries, a public company"
regal beloit america,82811,Regal Rexnord Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Regal Beloit America is a subsidiary of Regal Rexnord Corporation.
novartis gene therapies,1114448,Novartis AG,,deepseek/deepseek-v4-flash,2026-07-27,Novartis Gene Therapies is a subsidiary of Novartis AG.
hsni llc and hsn,1018724,"Qurate Retail, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,HSNi is a subsidiary of Qurate Retail Group.
catalent maryland,1596783,"Catalent, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Catalent Maryland is a subsidiary of Catalent Inc.
abm industry group,771497,ABM Industries Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Facility services; wholly-owned subsidiary of public company ABM Industries.
masco cabinetry,62996,Masco Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Cabinetry manufacturing; division of public company Masco Corporation.
brunswick bicycles,14930,Brunswick Corporation,,deepseek/deepseek-v4-flash,2026-07-27,Bicycle manufacturing; subsidiary of public company Brunswick Corporation.
bae systems controls,895564,BAE Systems plc,,deepseek/deepseek-v4-flash,2026-07-27,BAE Systems Controls is a subsidiary of publicly traded BAE Systems. Parent CIK from the EDGAR roster (exact:listed).
ritz carlton amelia island,1048286,"Marriott International, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Ritz-Carlton is a subsidiary of Marriott International (public).
united states steel corporation lorain,1163302,United States Steel Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Lorain plant of United States Steel Corporation, a public company."
amazon comksdc,1018724,"Amazon.com, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,Amazon subsidiary for distribution center
masco retail cabinet group,62996,Masco Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Division of Masco, publicly traded company"
arco bp amoco,313807,BP p.l.c.,,deepseek/deepseek-v4-flash,2026-07-27,"Gas station operations, subsidiary of BP (public). Parent CIK from the EDGAR roster (exact)."
john deere seeding plant,315189,Deere & Company,,deepseek/deepseek-v4-flash,2026-07-27,John Deere Seeding Plant is a facility of Deere & Company.
ge healthcare monitoring solutions,40545,General Electric Company,,deepseek/deepseek-v4-flash,2026-07-27,"Part of General Electric, a public company."
motorola order fulfillment ctr,68505,"Motorola, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"Part of Motorola, a public company."
saint gobain containers,1012037,Compagnie de Saint-Gobain S.A.,,deepseek/deepseek-v4-flash,2026-07-27,"U.S. subsidiary of Saint-Gobain, a publicly traded company. Parent CIK from the EDGAR roster (exact)."
aramark sports entertainment la convention ctr,1584509,Aramark,,deepseek/deepseek-v4-flash,2026-07-27,Aramark is a public company; this is a division. Parent CIK from the EDGAR roster (exact:listed).
gm detroit hamtramck,1467858,General Motors Company,,deepseek/deepseek-v4-flash,2026-07-27,GM Detroit Hamtramck plant is a General Motors facility.
square d,923734,Schneider Electric SE,,deepseek/deepseek-v4-flash,2026-07-27,Square D is a subsidiary of Schneider Electric SE. Parent CIK from the EDGAR roster (exact).
ltf club management company llc dba life time in roseville,1869198,"Life Time Group Holdings, Inc.",,deepseek/deepseek-v4-flash,2026-07-27,"LTF Club Management Company, LLC operates Life Time fitness centers and is a subsidiary of Life Time Group Holdings (ticker LTH). Parent CIK from the EDGAR roster (exact)."
pace membership warehouse,56824,Kmart Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"PACE MEMBERSHIP WAREHOUSE was a chain owned by Kmart Corporation, which was public at the time. Parent CIK from the EDGAR roster (exact)."
supervalu distribution center,95521,Supervalu Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Distribution center of Supervalu Inc., which was a public company until 2018. Parent CIK from the EDGAR roster (exact)."
dana thermal products,26780,Dana Incorporated,,deepseek/deepseek-v4-flash,2026-07-27,"Thermal products division of Dana Incorporated, a public company. Parent CIK from the EDGAR roster (exact)."
alcoa warrick operations,1675149,Alcoa Corporation,,deepseek/deepseek-v4-flash,2026-07-27,"Alcoa Warrick Operations is a plant of Alcoa, a public company."
keystone rv,730255,Thor Industries Inc.,,deepseek/deepseek-v4-flash,2026-07-27,"Keystone RV is a subsidiary of Thor Industries, a public company."
verizon corp resources group,732712,Verizon Communications Inc.,,deepseek/deepseek-v4-flash,2026-07-27,Verizon Corp Resources Group is a subsidiary of Verizon Communications.
