normalized_name,employer_name,states,notices,workers,years,stance,proposed,matched_cik,cik_match,parent_name,parent_cik,confidence,corroborated_by,outcome,gate,note
zachry industrial inc sabine pass,"Zachry Industrial, Inc. (Sabine Pass)",TX,1,4072,2024-2024,private,,,,,,0.9,,staged,existing override,"Zachry Industrial, Inc. is a private construction company."
sjp,SJP Corporation,WI,18,3960,2005-2005,private,,,,,,0.9,,rejected,model-rejected,"SJP Corporation is a private company in New London, WI."
transdev services,"Transdev Services, Inc.",AZ|CA|FL|MA|MD|NC|ND|NJ|WA,22,3958,2017-2026,subsidiary,,,,Transdev Group,,0.85,,staged,existing override,"Transdev Services, Inc. is a US subsidiary of the French Transdev Group."
chrysler motors,CHRYSLER MOTORS CORPORATION,IL,3,3952,1990-2009,public,Chrysler Motors Corporation,,,,,0.7,,staged,matcher refused,Chrysler Motors Corporation was a public company before becoming private.
penske logistics,Penske Logistics,CA|GA|IL|IN|KS|MI|MO|NJ|NY|OH|OK|TX|WA,36,3935,2000-2025,private,,,,,,0.9,,staged,existing override,Penske Logistics is a private logistics company.
qmax america,QMax America Inc.,OH,1,3931,2020-2020,private,,,,,,0.9,,rejected,model-rejected,QMax America Inc. is a private company.
laz parking california,"LAZ Parking California, LLC",CA,3,3860,2020-2020,private,,,,,,0.9,,staged,existing override,"LAZ Parking California, LLC is a private parking company."
delaware north,Delaware North Company,CO|MI|NJ|OK|SC,7,3810,2008-2020,private,,,,,,0.9,,staged,existing override,private hospitality company
scott archery,Scott Archery,KY,2,3800,2017-2018,private,,,,,,0.9,,staged,existing override,archery equipment manufacturer
dyncorp international,DynCorp International LLC,CA|FL|GA|MD|NC|NY|TX|VA|WA,17,3694,2006-2022,subsidiary,,,,DynCorp International Inc.,1158891,0.9,,staged,unknown parent CIK,"subsidiary of DynCorp International Inc., which was SEC-registered"
raterlabs,"RaterLabs, Inc.",WA,1,3657,2024-2024,private,,,,,,0.9,,staged,existing override,private company providing internet rating services
gebbers farms etal,"Gebbers Farms, Etal",WA,1,3465,2025-2025,private,,,,,,0.9,,staged,existing override,private agricultural company
bon appetit management,BON APPETIT Management Company,CA|MI|MO|OH|PA|WA|WI,15,3364,2014-2024,private,,,,,,0.95,,rejected,model-rejected,"Food service management company, not publicly traded."
verity health system of california,"Verity Health System of California, Inc.",CA,12,3264,2018-2020,private,,,,,,0.95,,staged,existing override,"Nonprofit health system, no SEC registration."
hawaiian gardens casino,Hawaiian Gardens Casino,CA,3,3226,2020-2020,private,,,,,,0.95,,staged,existing override,Privately owned casino.
hooters of america,"HOOTERS OF AMERICA, LLC",AL|GA|IN|KY|MD|MI|NE|OH|SC|TN|VA|WI,23,3223,2020-2020,private,,,,,,0.95,,staged,existing override,Privately held franchisor of Hooters restaurants.
gm lordstown complex,GM Lordstown Complex,OH,2,3214,2018-2019,public,General Motors Company,1467858,exact,,,0.95,,staged,listed as its own subsidiary,GM plant; GM files SEC reports.
big bear,Big Bear,OH,16,3203,2002-2003,private,,,,,,0.8,,rejected,model-rejected,"Ohio grocery chain, not SEC registrant."
dnc parks resorts at yosemite,"DNC Parks & Resorts at Yosemite, Inc.",CA,2,3114,2013-2015,subsidiary,,,,Delaware North Companies,,0.85,,staged,existing override,"Subsidiary of Delaware North Companies, private."
swissport usa,Swissport USA Inc.,CA|FL|IL|NY|OH|TX|WA,10,3110,2003-2024,subsidiary,,,,Swissport International Ltd.,,0.9,,staged,existing override,"Subsidiary of Swissport, private."
rg steel,"RG STEEL, LLC",AL|KS|MD|OH|TX|VA,7,3073,2012-2012,private,,,,,,0.8,,staged,existing override,Private steel company.
exel,Exel Inc.,CA|GA|IL|KY|NY|OH|WA|WI,22,3004,2003-2025,subsidiary,,,,Deutsche Post AG,,0.85,,staged,unknown parent CIK,"Subsidiary of Deutsche Post DHL, not US SEC."
iap world services,IAP World Services,CA|DC|GA|KY|NJ|WA,12,2990,2005-2012,private,,,,,,0.8,,rejected,model-rejected,Private contractor.
mitsubishi motor manufacturing,MITSUBISHI MOTOR MANUFACTURING,IL,6,2981,1999-2015,subsidiary,,,,Mitsubishi Motors Corporation,804789,0.85,,staged,unknown parent CIK,Japanese automaker's US manufacturing subsidiary
united space alliance llc 1102 john glenn blvd titusville fl 32780,"United Space Alliance, LLC 1102 John Glenn Blvd. Titusville, FL 32780",FL,7,2969,2010-2012,private,,,,,,0.9,,rejected,model-rejected,Joint venture between Boeing and Lockheed Martin
cleveland works ltv steel,Cleveland Works (LTV Steel Company),OH,1,2964,2001-2001,subsidiary,LTV Steel Company,83264,exact,LTV Steel Company,63527,0.95,,staged,under-corroborated,Division of public LTV Steel Company
amsted rail,AMSTED RAIL CO.,AL|IL|IN,8,2905,2007-2025,private,,,,,,0.9,,staged,existing override,Private rail equipment manufacturer
dreyer s grand ice cream,Dreyer's Grand Ice Cream,CA|MD,8,2861,2006-2025,subsidiary,,,,Nestlé S.A.,722512,0.8,,staged,unknown parent CIK,Subsidiary of Nestlé
trump taj mahal assoc,"Trump Taj Mahal Assoc, LLC",NJ,1,2848,2016-2016,subsidiary,,,,"Trump Entertainment Resorts, Inc.",725712,0.85,,staged,unknown parent CIK,Casino subsidiary of Trump Entertainment Resorts
brown transport,Brown Transport,GA,1,2825,2000-2000,private,,,,,,0.9,,staged,existing override,Private trucking company
arizona autism,Arizona Autism,AZ,1,2792,2025-2025,private,,,,,,0.95,,staged,existing override,"Arizona-based autism services provider, not publicly traded."
bridgestone firestone,BRIDGESTONE/FIRESTONE,IL|OK,3,2786,1991-2006,subsidiary,,,,Bridgestone Corporation,845462,0.9,,staged,existing override,"Tire manufacturer, subsidiary of Bridgestone Corporation."
greater wichita ymca,Greater Wichita YMCA,KS,2,2762,2020-2020,private,,,,,,0.95,,staged,existing override,"Local YMCA organization, not SEC-registered."
department of health and human services hhs,Department of Health and Human Services (HHS),MD,11,2755,2025-2025,government,,,,,,1.0,,staged,existing override,U.S. federal government department.
irvine management company dba irvine,"Irvine Management Company, dba Irvine Company",CA,2,2740,2020-2020,private,,,,,,0.9,,staged,existing override,"Real estate management company, privately held."
tatitlek,Tatitlek Corporation,CA|GA,3,2709,2014-2015,private,,,,,,0.85,,rejected,model-rejected,"Alaska Native Corporation, not publicly traded."
legoland california llc dba legoland california resort,"Legoland California, LLC dba Legoland California Resort",CA,4,2670,2020-2022,private,,,,,,0.85,,rejected,model-rejected,"LLC, part of Merlin Entertainments, not SEC registrant"
ymca,YMCA,CA|FL|KS|NE|SC,6,2668,2018-2020,private,,,,,,0.95,,staged,existing override,"Nonprofit organization, not SEC registrant"
sears,Sears,CA|GA|IL|KS|MD|ME|MI|NE|NJ|NV|OH|OK|OR|TN|VA|WA|WI,42,2657,1990-2022,public,Sears Holdings Corporation,1310067,exact,,,0.99,SEC industry agrees with the state-reported one,staged,under-corroborated,"Known public company, formerly Sears Holdings Corp"
crozer health,Crozer Health,PA,1,2651,2025-2025,private,,,,,,0.8,,rejected,model-rejected,"Health system, likely private nonprofit"
bombardier learjet,Bombardier Learjet,KS,36,2648,2001-2019,subsidiary,,,,Bombardier Inc.,862919,0.92,,staged,unknown parent CIK,"Division of Bombardier, a Canadian public company"
signature fruit,"Signature Fruit Company, LLC",CA,3,2630,2001-2006,private,,,,,,0.8,,staged,existing override,"LLC, likely private company"
university of texas medical branch utmb,University of Texas Medical Branch (UTMB),TX,7,2557,2008-2008,government,,,,,,0.95,,staged,existing override,University of Texas Medical Branch is a state university medical center.
gerawan farming,"Gerawan Farming, Inc.",CA,1,2551,2015-2015,private,,,,,,0.9,,staged,existing override,"Gerawan Farming is a California agricultural company, privately held."
community development institute head start,Community Development Institute Head Start,AL|CA|CT|GA|IL|IN|LA|MI|NJ|NY|OH|TN|UT|WI,27,2524,2013-2025,private,,,,,,0.85,,rejected,model-rejected,"Community Development Institute Head Start is a non-profit organization, not SEC-registered."
saint clare s health services,Saint Clare's Health Services,NJ,1,2511,2015-2015,private,,,,,,0.8,,rejected,model-rejected,"Saint Clare's Health Services is a New Jersey hospital network, likely private non-profit."
miller s ale house,"Miller’s Ale House, Inc.",FL|GA|MA|MD|OH|PA|VA,34,2502,2020-2026,private,,,,,,0.9,,staged,existing override,Miller's Ale House is a privately held restaurant chain.
os restaurant servicesllc,OS Restaurant ServicesLLC,SC,1,2476,2020-2020,subsidiary,,,,OSI Restaurant Partners LLC,,0.7,,staged,below threshold,OS Restaurant Services LLC is likely a subsidiary of OSI Restaurant Partners.
ppe casino resorts maryland llc d b a live casino hotel,"PPE Casino Resorts Maryland, LLC d/b/a Live Casino & Hotel",MD,1,2400,2020-2020,private,,,,,,0.6,,staged,existing override,"PPE Casino Resorts Maryland, LLC operates Live! Casino & Hotel, likely privately held by The Cordish Companies."
ltv cleveland workers,(LTV) Cleveland Workers,OH,1,2387,2001-2001,public,LTV Corporation,60731,exact,,,0.5,"registrant filed 1995-2012, covering the notices",staged,below threshold,Employer name references LTV Corporation's Cleveland operations; LTV was a public company.
pace industries,PACE INDUSTRIES,AL|IL|MI|MN|TN|WI,10,2343,2009-2026,private,,,,,,0.6,,staged,existing override,PACE INDUSTRIES appears to be a private manufacturing company.
northrup grumman electro optical systems,Northrup Grumman Electro-Optical Systems,TX,1,2341,2003-2003,public,Northrop Grumman Corporation,1133421,exact:listed,,,0.9,,staged,listed as its own subsidiary,Northrop Grumman is a public company; the division name is a variant spelling.
transdev,Transdev,AZ|CA|CT|ID|IN|LA|NV|SC|VA,10,2333,2017-2026,private,,,,,,0.8,,staged,existing override,Transdev is a private transportation operator in the US.
los angeles times,Los Angeles Times,CA|HI|NV,30,2322,2001-2024,private,,,,,,0.7,,staged,existing override,"Los Angeles Times is owned by Patrick Soon-Shiong, a private entity since 2018."
saks,"SAKS, INC.",AL|AZ|CA|FL|HI|MD|MO|NC|NJ|NV|NY|OH|PA|WI,30,2322,2001-2026,public,Saks Incorporated,,,,,0.9,,staged,matcher refused,"Saks, Inc. was a public company before being acquired in 2013."
pebble beach,Pebble Beach Company,CA,3,2313,2020-2020,private,,,,,,0.95,,staged,existing override,Pebble Beach Company is a privately held resort and golf course operator.
zf transmissions,ZF Transmissions,SC,1,2300,2020-2020,subsidiary,,,,ZF Friedrichshafen AG,,0.85,,staged,existing override,"ZF Transmissions is a subsidiary of the German automotive supplier ZF Friedrichshafen AG, which does not file with the SEC."
metropolitan opera association inc metropolitan opera house,"Metropolitan Opera Association, Inc. (Metropolitan Opera House)",NY,1,2279,2020-2020,private,,,,,,0.95,,staged,existing override,"Metropolitan Opera Association, Inc. is a non-profit organization, not publicly traded."
jt3,JT3 LLC,CA|NV,2,2272,2018-2018,private,,,,,,0.8,,staged,existing override,"JT3 LLC is a private government contractor, not registered with the SEC."
g2 secure staff,G2 Secure Staff,CA|CO|FL|GA|MA|MI|NY|VA|WA,22,2267,2009-2025,private,,,,,,0.9,,staged,existing override,G2 Secure Staff is a private airport staffing company.
prospect airport services,PROSPECT AIRPORT SERVICES,CA|CO|IL|MI|MN|NJ,7,2218,2019-2023,private,,,,,,0.9,,staged,existing override,Prospect Airport Services is a private company providing airport services.
newark morning ledger,Newark Morning Ledger LLC,NJ,3,2178,2008-2024,subsidiary,,,,"Advance Publications, Inc.",,0.85,,staged,unknown parent CIK,Newark Morning Ledger LLC publishes The Star-Ledger; parent Advance Publications is private.
flying food group,Flying Food Group,AZ|CA|CT|FL|HI|IL|MD|VA|WA,35,2171,2013-2021,private,,,,,,0.9,,staged,existing override,Flying Food Group is a privately held airline catering company.
sands hotel casino,SANDS HOTEL & CASINO,NJ,1,2167,2006-2006,subsidiary,,,,Las Vegas Sands Corp.,1300514,0.7,,staged,below threshold,Sands Hotel & Casino may be a subsidiary of Las Vegas Sands (public).
rosen hotels resorts,Rosen Hotels & Resorts,FL,2,2150,2020-2021,private,,,,,,0.9,,staged,existing override,Rosen Hotels & Resorts is privately owned by Harris Rosen.
new england motor freight,"New England Motor Freight, Inc.",CT|IL|MD|NJ,7,2143,2019-2019,private,,,,,,0.9,,staged,existing override,New England Motor Freight was a privately held trucking company.
showboat casino,Showboat Casino,NJ,1,2139,2014-2014,subsidiary,,,,Caesars Entertainment Corporation,858339,0.7,,staged,unknown parent CIK,Showboat Casino was likely a subsidiary of Caesars Entertainment (public).
cohn restaurant group,Cohn Restaurant Group,CA,2,2116,2020-2020,private,,,,,,0.9,,staged,existing override,"Private restaurant group, no SEC registration."
cox automotive,"Cox Automotive, Inc.",AZ|CA|CO|GA|MD|MI|OH|SC|TN|VA|WA,16,2111,2020-2020,subsidiary,,,,Cox Enterprises,,0.95,,staged,unverifiable parent,"Cox Automotive is a subsidiary of Cox Enterprises, which is privately held."
chukchansi gold resort casino,Chukchansi Gold Resort & Casino,CA,2,2099,2014-2020,government,,,,,,0.9,,staged,existing override,"Tribal casino, government entity."
ideal us talent systems worker opco,Ideal US Talent Systems Worker Opco LLC,GA|IL|RI,3,2084,2026-2026,private,,,,,,0.8,,rejected,model-rejected,"LLC, likely private staffing or services firm."
msg entertainment group llc and its affiliates msg arena llc and radio city productions llc 6 nyc sites,"MSG Entertainment Group, LLC and its affiliates MSG Arena, LLC; and Radio City Productions LLC) (6 NYC sites)",NY,1,2083,2020-2020,public,"MSG Entertainment Group, LLC",,,,,0.9,,staged,matcher refused,"Publicly traded company (NYSE: MSGE), CIK 1822657."
air wisconsin airlines,Air Wisconsin Airlines,GA|IL|WI,11,2080,2004-2025,subsidiary,,,,Air Wisconsin Airlines Corporation,,0.9,,staged,existing override,"Regional airline, privately held subsidiary."
management training,Management & Training Corporation,AZ|CA|CT|FL|GA|HI|MD|WA,10,2053,2015-2026,private,,,,,,0.95,,staged,existing override,Management & Training Corporation is a private company.
ormet primary aluminum,Ormet Primary Aluminum Corporation,OH,3,2047,2003-2012,public,Ormet Corporation,,,,,0.9,,staged,existing override,"Ormet Primary Aluminum Corporation was likely a subsidiary of Ormet Corporation, which filed with the SEC."
ymca of san diego,YMCA of San Diego,CA,1,2047,2020-2020,private,,,,,,0.95,,staged,existing override,"YMCA of San Diego is a local nonprofit, not an SEC registrant."
arriva medical,Arriva Medical LLC,FL|KY,2,2042,2017-2017,subsidiary,,,,Arriva plc,,0.8,,staged,existing override,"Arriva Medical LLC is likely a subsidiary of Arriva plc, a UK-based public company."
verity health system of california inc dba st francis medical center,"Verity Health System of California, Inc. DBA St. Francis Medical Center",CA,1,2030,2020-2020,private,,,,,,0.85,,staged,existing override,"Non-profit health system, not SEC registered."
hollywood park casino,Hollywood Park Casino Company,CA,6,2023,2020-2021,private,,,,,,0.8,,rejected,model-rejected,"Privately held casino, no SEC filing."
st regis,St. Regis,DC,1,2020,2020-2020,franchise,,,,,,0.7,,staged,existing override,"Hotel operating under Marriott brand, likely privately owned."
new jersey sports exposition authority,New Jersey Sports & Exposition Authority,NJ,3,2000,2011-2015,government,,,,,,0.95,,staged,existing override,"State authority, not SEC registered."
walt disney world swan and dolphin resort,Walt Disney World Swan and Dolphin Resort,FL,1,1999,2020-2020,private,,,,,,0.65,,staged,existing override,"Resort owned by a private partnership, not publicly traded."
walgreens,Walgreens,CA|CT|FL|IL|KS|ME|OK|UT,14,1984,2012-2025,subsidiary,,,,"Walgreens Boots Alliance, Inc.",1618921,0.95,,staged,unknown parent CIK,"Walgreens is a subsidiary of Walgreens Boots Alliance, a publicly traded company."
shubert organization inc several nyc theatres corporate offices,"The Shubert Organization, Inc. (several NYC theatres & corporate offices)",NY,1,1980,2020-2020,private,,,,,,0.9,,staged,existing override,The Shubert Organization is a privately held theatre company.
levy,Levy,CA|FL|MO,5,1943,2020-2025,subsidiary,,,,Compass Group PLC,1317627,0.85,,accepted,already decided,Levy is a food service provider owned by Compass Group.
new york convention center operating corporation the javits center nyc,"New York Convention Center Operating Corporation (the Javits Center, NYC)",NY,1,1937,2020-2020,government,,,,,,0.95,,staged,existing override,New York Convention Center Operating Corporation is a government entity.
asm global,ASM Global,AL|CA|IA|IL|OH|RI,6,1924,2020-2025,private,,,,,,0.7,,staged,existing override,ASM Global is a privately held venue management company.
orchard supply,"Orchard Supply Company, LLC",CA|FL|OR,17,1920,2018-2018,public,Orchard Supply Hardware Stores Corporation|Orchard Supply Company LLC|OSH,896842,exact:post-era,,,0.7,,staged,below threshold,"California hardware chain, formerly traded on NASDAQ as OSH, filed WARN notices during bankruptcy."
atc vancom of arizona l p dba veolia tranport,ATC/Vancom of Arizona L.P. dba Veolia Tranport.,AZ,2,1906,2010-2010,subsidiary,,,,Veolia Environnement S.A.,,0.7,,staged,unknown parent CIK,"ATC/Vancom is a transportation provider, part of Veolia Transport."
pokagon gaming authority dba four winds casinos,Pokagon Gaming Authority dba Four Winds Casinos,IN|MI,2,1903,2020-2020,private,,,,,,0.95,,rejected,model-rejected,"Tribal gaming authority, not an SEC registrant."
hopkins county coal madisonville office,Hopkins County Coal Madisonville Office,KY,1,1901,2018-2018,subsidiary,,,,"Alliance Resource Partners, L.P.",,0.6,,staged,below threshold,Hopkins County Coal is likely a subsidiary of Alliance Resource Partners.
ann taylor distribution services,Ann Taylor Distribution Services,KY,1,1900,2017-2017,subsidiary,,,,"Ascena Retail Group, Inc.",,0.95,,staged,unknown parent CIK,Ann Taylor Distribution Services is part of Ascena Retail Group.
armstrong coal prep dock facility,Armstrong Coal Prep & Dock Facility,KY,1,1900,2017-2017,private,,,,,,0.95,,rejected,model-rejected,"Kentucky coal mine and prep facility, likely private."
baptist health plan inc lexington,Baptist Health Plan Inc-Lexington,KY,1,1900,2017-2017,private,,,,,,0.9,,rejected,model-rejected,"Subsidiary of Baptist Health, a non-profit health system; no SEC registration."
booth energy,Booth Energy,KY,1,1900,2017-2017,private,,,,,,0.95,,rejected,model-rejected,Private coal company in Kentucky.
dollar express covington,Dollar Express-Covington,KY,1,1900,2017-2017,private,,,,,,0.9,,rejected,model-rejected,Dollar Express was a private dollar store chain.
equality boot surface mine,Equality Boot Surface Mine,KY,1,1900,2017-2017,private,,,,,,0.95,,staged,existing override,"Kentucky coal surface mine, likely private."
jpmorgan chase 4915 4925 independence pkwy 4900 memorial highway tampa fl 33634,"JPMorgan Chase 4915, 4925 Independence Pkwy 4900 Memorial Highway Tampa, FL 33634",FL,1,1900,2005-2005,public,JPMorgan Chase & Co.,,,,,0.99,,staged,matcher refused,JPMorgan Chase is a public company and the branch is part of the parent entity.
kmart 04232 lexington,Kmart 04232-Lexington,KY,1,1900,2017-2017,subsidiary,Kmart Corporation,56824,exact,Sears Holdings Corporation,895670,0.7,"registrant filed 1994-2018, covering the notices",staged,below threshold,Kmart store; parent company Sears Holdings filed for bankruptcy.
ledvance llc winchester,LEDVANCE LLC-Winchester,KY,1,1900,2017-2017,private,,,,,,0.8,,rejected,model-rejected,"LEDVANCE LLC is a lighting company, not SEC registered."
thoroughfare mining,THOROUGHFARE MINING LLC,KY,1,1900,2018-2018,private,,,,,,0.9,,staged,existing override,"Mining company, likely private."
zoo printing,ZOO PRINTING,KY,1,1900,2017-2017,private,,,,,,0.9,,staged,existing override,"Small printing business, private."
pinnacle logistics,Pinnacle Logistics,IL|RI|TX,4,1897,2001-2020,private,,,,,,0.9,,rejected,model-rejected,Logistics company; automatic matcher rejected candidate 'pinnacle lofts'.
california commerce club dba the commerce casuno hotel,THE CALIFORNIA COMMERCE CLUB DBA THE COMMERCE CASUNO & HOTEL,CA,1,1884,2020-2020,private,,,,,,0.95,,rejected,model-rejected,"Private club and casino, no SEC registration."
security industry specialists,"Security Industry Specialists, Inc.",CA|IA|WA,8,1880,2014-2024,private,,,,,,0.9,,rejected,model-rejected,"Private security firm, not publicly traded."
packers sanitation services,Packers Sanitation Services Inc.,AL|AZ|CA|DE|GA|IL|IN|KS|KY|NC|NE|OH|TN|WI,22,1834,2015-2024,private,,,,,,0.9,,staged,existing override,Private sanitation company serving meatpacking plants.
mta new york city transit ta,MTA New York City Transit (TA),NY,2,1814,2009-2010,government,,,,,,0.95,,staged,existing override,Public transit agency in New York City.
delaware north dba st louis sportservice springfield sportservice,"Delaware North, DBA: St. Louis Sportservice, Springfield Sportservice",MO,1,1810,2020-2020,private,,,,,,0.95,,staged,existing override,Delaware North is a private hospitality company; no SEC registration.
paramedics plus,Paramedics Plus,CA|OK|TX,5,1810,2013-2019,private,,,,,,0.9,,staged,existing override,Private ambulance service; no SEC registration.
rivera vineyards dba indian wells vineyards,"Rivera Vineyards dba Indian Wells Vineyards, Inc.",CA,1,1800,2005-2005,private,,,,,,0.9,,staged,existing override,Private vineyard; no SEC registration.
matheson flight extenders,"Matheson Flight Extenders, Inc.",CA|CO|GA|MA|MD|MO|PA|TX,12,1790,2023-2024,private,,,,,,0.85,,staged,existing override,Private logistics company; no SEC registration.
yanfeng,Yanfeng,MI|MO|OH,6,1772,2017-2026,private,,,,,,0.85,,rejected,model-rejected,Private automotive interiors supplier; no SEC registration.
barton protective services 3333w commercial blvd suite 115 ft lauderdale fl 33309,"Barton Protective Services 3333W. Commercial Blvd Suite 115 Ft. Lauderdale, FL 33309",FL,1,1750,2006-2006,private,,,,,,0.8,,rejected,model-rejected,"Security services company, likely private."
kenco logistic services,"Kenco Logistic Services, LLC",IL|IN|KY|NC|NJ,7,1740,2016-2026,private,,,,,,0.8,,staged,existing override,"Logistics services company, privately held."
southwest key programs,"Southwest Key Programs, Inc.",AZ|CA,6,1735,2018-2025,private,,,,,,0.95,,staged,existing override,Nonprofit running youth shelters; not an SEC registrant.
atlantaic club casino,The Atlantaic Club Casino,NJ,1,1729,2013-2013,private,,,,,,0.9,,rejected,model-rejected,Casino in Atlantic City; no SEC registration likely.
pride transportation services,Pride Transportation Services Inc.,NY,3,1725,2014-2025,private,,,,,,0.9,,rejected,model-rejected,Private transportation services company.
gsw arena llc chase center,GSW Arena LLC-Chase Center,CA,1,1720,2020-2020,private,,,,,,0.8,,rejected,model-rejected,"Entity owning Chase Center; part of Warriors ownership group, not public."
first union national bank,First Union National Bank,CA,3,1715,2000-2000,subsidiary,,,,First Union Corporation,,0.85,,staged,existing override,Bank subsidiary of First Union Corporation (now Wachovia/Wells Fargo).
suny downstate medical center at lich staffco of brooklyn,SUNY Downstate Medical Center at LICH - StaffCo Of Brooklyn LLC,NY,1,1714,2013-2013,government,,,,,,0.95,,staged,existing override,State University of New York medical center; public entity.
americold logistics,Americold Logistics,CA|GA|IA|IL|UT|WI,11,1709,2000-2026,subsidiary,,,,Americold Realty Trust,1472512,0.9,,staged,existing override,Logistics subsidiary of publicly traded REIT Americold Realty Trust.
wcisteel,WCISteel,OH,1,1705,2003-2003,public,"WCI Steel, Inc.",897745,exact,,,0.7,"registrant filed 1996-2006, covering the notices",staged,below threshold,"Ohio steel producer, filed with SEC before bankruptcy in 2003"
columbia distributing,Columbia Distributing Company,OR|WA,2,1704,2008-2008,private,,,,,,0.95,,staged,existing override,"Beverage distributor in Pacific Northwest, not SEC registered"
zoological society of san diego dba san diego zoo global,Zoological Society of San Diego dba San Diego Zoo Global,CA,1,1690,2020-2020,private,,,,,,0.95,,staged,existing override,"Nonprofit zoo organization, no SEC registration"
catholic healthcare west roscoe boulevard campus,Catholic Healthcare West - Roscoe Boulevard Campus,CA,1,1683,2004-2004,private,,,,,,0.9,,staged,existing override,"Nonprofit healthcare system, no SEC registration"
ymca san antonio,YMCA-San Antonio,TX,1,1679,2020-2020,private,,,,,,0.95,,staged,existing override,"YMCA branch, nonprofit organization"
montgomery wards,Montgomery Wards,KS|OK|OR,7,1677,2001-2001,public,"Montgomery Ward & Co., Incorporated",836974,suffix,,,0.9,,staged,under-corroborated,"Defunct department store chain, previously SEC registrant"
huntleigh usa,HUNTLEIGH USA CORPORATION,AL|CA|OR|TX,8,1673,2002-2003,private,,,,,,0.6,,staged,existing override,"Airport security and services firm, likely private"
hard rock hotel casino,Hard Rock Hotel & Casino,NV,1,1665,2019-2019,private,,,,,,0.95,,staged,existing override,"Hotel and casino owned by Seminole Tribe, not SEC registered"
ymca of silicon valley,YMCA of Silicon Valley,CA,1,1657,2020-2020,private,,,,,,0.95,,staged,existing override,"Local YMCA branch, non-profit, not publicly traded."
lilly usa,"Lilly USA, LLC",IN,1,1624,2013-2013,subsidiary,,,,Eli Lilly and Company,,0.98,,staged,unverifiable parent,"Subsidiary of Eli Lilly and Company, publicly traded."
shiel holdings,"Shiel Holdings, LLC",NJ,3,1614,2017-2018,private,,,,,,0.8,,rejected,model-rejected,"Private limited liability company, no SEC registration found."
