state,location,notices,workers,reason,kind,census_name,resolved_to,confidence,elsewhere,outcome,gate,note
MI,"Auburn Hills, Michigan; Birmingham, Michigan; Detroit, Michigan; Farmington Hills, Michigan; Holly, Michigan; Livonia, Michigan; Milford, Michigan; Oscoda, Michigan; Plymouth, Michigan; Mt. Clemens, Michigan; Royal Oak, Michigan; Southgate, Michigan; and St. Clair Shores, Michigan",1,1318,12 distinct places named,multiple,,,0.99,,staged,multiple,13 distinct places listed
MI,"Belmont, Michigan; Grand Rapids, Michigan; Grandville, Michigan; Lowell, Michigan; Middleville, Michigan; and Wyoming, Michigan",1,1295,5 distinct places named,multiple,,,0.99,,staged,multiple,6 distinct places listed
CO,Arapahoe Douglas,10,1215,no matching place,multiple,"Arapahoe County, Douglas County",,0.95,,staged,multiple,Likely refers to two counties
GA,Rabun Gap,4,1150,no matching place,county,Rabun County,Rabun County,0.97,,staged,county-level,Rabun Gap is an unincorporated community in Rabun County
VA,"Alexandria, Arlington, Fairfax, Falls Church & Vienna VA",1,1141,5 distinct places named,multiple,"Alexandria, Arlington, Fairfax, Falls Church, Vienna",,0.98,,staged,multiple,Five distinct places listed
WI,"Waukesha, Menomonee Falls, Greenfield, Wauwatosa, New Berlin, Mukwonago",1,1100,5 distinct places named,multiple,"Waukesha, Menomonee Falls, Greenfield, Wauwatosa, New Berlin, Mukwonago",,0.98,,staged,multiple,Six distinct places listed
PA,York and Philadelphia,1,1096,2 distinct places named,multiple,,,0.99,,staged,multiple,York and Philadelphia
GA,Ellenwood,5,1072,no matching place,place,Ellenwood,,0.95,,staged,did not resolve,
MA,"Boston, Chestnut Hill & Framingham",1,1019,2 distinct places named,multiple,,,0.99,,staged,multiple,"Boston, Chestnut Hill & Framingham"
MD,"1430 Sparrows Point Boulevard, Sparrows Point, MD",1,1012,no matching place,place,Sparrows Point,,0.95,,staged,did not resolve,
NV,"Las Vegas/Reno, Clark/Washoe",3,1010,2 distinct places named,multiple,,,0.99,,staged,multiple,"Las Vegas/Reno, Clark/Washoe"
WI,"Arcadia, Augusta, Barron, Black River Falls, Chetek, Chippewa Falls, Cornell, Eau Claire, Galesville, Hayward, La Crosse, Ladysmith, Neillsville, Rice Lake, Richland Center, Shell Lake, Spencer, Stanley, Tomah, Whitehall",1,1008,20 distinct places named,multiple,,,0.99,,staged,multiple,List of 20 places
CA,OLYMPIC VALLEY,4,995,no matching place,place,Olympic Valley,,0.95,,staged,did not resolve,"Census-designated place in Placer County, California"
PA,"Bucks, Delaware, Montgomery and Philadelphia",1,983,2 distinct places named,multiple,,,0.99,,staged,multiple,"Bucks, Delaware, Montgomery, and Philadelphia counties in Pennsylvania"
CA,TAHOE CITY,2,979,no matching place,place,Tahoe City,,0.95,,staged,did not resolve,"Census-designated place in Placer County, California"
MI,"Alpine, Michigan; Burton, Michigan; Grand Rapids, Michigan; Lansing, Michigan; Novi, Michigan; Shelby Township, Michigan; and Warren, Michigan",1,979,6 distinct places named,multiple,,,0.99,,staged,multiple,"Alpine, Burton, Grand Rapids, Lansing, Novi, Shelby Township, and Warren in Michigan"
CA,MCCLELLAN AFB,10,963,no matching place,county,Sacramento County,Sacramento County,0.95,,staged,county-level,"McClellan AFB is an unincorporated area in Sacramento County, California"
MD,"47123 Buse Rd. #540 Patuxent River, MD 20670",1,937,no matching place,place,Patuxent River,,0.95,,staged,did not resolve,"Census-designated place in St. Mary's County, Maryland"
GA,Midland,5,919,no matching place,place,Midland,,0.8,,staged,did not resolve,"Town in Muscogee County, Georgia"
OR,"Portland, Eugene, Medford, Salem",1,919,4 distinct places named,multiple,,,0.99,,staged,multiple,four distinct places named
NY,Buffalo/Amherst/Kenmore/Lancaster/Lockport/Niagara,1,909,4 distinct places named,multiple,,,0.99,,staged,multiple,six distinct places named
WA,"Bothell, Redmond",23,894,2 distinct places named,multiple,,,0.99,,staged,multiple,two distinct places named
WA,Bangor,2,887,no matching place,county,Kitsap County,Kitsap County,0.95,"CA,ME,MI,MN,NY,PA,SD,WI",staged,county-level,Bangor is an unincorporated community in Kitsap County
WI,Wilmot,3,884,no matching place,place,Wilmot,,0.95,,staged,did not resolve,Wilmot is a village in Wisconsin
MO,Earth City,8,877,no matching place,county,St. Louis County,,0.95,,staged,did not resolve,Earth City is an unincorporated community in St. Louis County
WA,Malaga,3,874,no matching place,county,Chelan County,Chelan County,0.95,"CA,NJ,NM,OH",staged,county-level,Malaga is an unincorporated community in Chelan County
AL,Adger,3,872,no matching place,county,Jefferson County,Jefferson County,0.95,,staged,county-level,"Adger is an unincorporated community in Jefferson County, Alabama"
MN,Bentonville,2,840,no matching place,place,Bentonville,,0.85,,staged,did not resolve,"Bentonville is a small city in Wright County, Minnesota"
WI,"Waukesha, Oconomowoc, Mukwonago, Brookfield, New Berlin, Delafield, Pewaukee, Watertown, Muskego, Waterford, Sussex, Hartland",1,835,10 distinct places named,multiple,,,0.99,,staged,multiple,List of 12 distinct places in Wisconsin
OH,"Steubenville, Mingo Junction, Yorkville (Jefferson)",1,831,3 distinct places named,multiple,,,0.99,,staged,multiple,"Three distinct places in Jefferson County, Ohio"
TN,"Davidson, Sevier, and Williamson County",1,830,no matching place,multiple,,,0.99,,staged,multiple,Three counties in Tennessee
WI,"Green Bay, Brussels, Suring",1,829,2 distinct places named,multiple,,,0.99,,staged,multiple,Three distinct places in Wisconsin
OH,Cleveland & Ashtabula (Cuyahoga & Ashtabula),1,803,2 distinct places named,multiple,,,0.99,,staged,multiple,two distinct places: Cleveland and Ashtabula
OH,Sandusky/ErieMason/Warren,1,802,2 distinct places named,multiple,,,0.95,,staged,multiple,"multiple places: Sandusky, Erie, Mason, Warren"
NJ,NEWARK/JERSEY CITY,1,800,2 distinct places named,multiple,,,0.99,,staged,multiple,two places: Newark and Jersey City
TN,Davidson and Shelby County,3,787,no matching place,multiple,,,0.99,,staged,multiple,two counties: Davidson and Shelby
CA,ORO GRANDE,10,775,no matching place,place,Oro Grande,,0.9,,staged,did not resolve,Census-designated place in CA
CT,"Hartford, Bridgeport, Farmington, Enfield, East Windsor, Cos Cob, North Haven, New Haven, South Windsor, Southington, Stamford, Wethersfield, Woodbridge",1,747,7 distinct places named,multiple,,,0.99,,staged,multiple,list of CT cities
MI,"Warren, Michigan; Novi, Michigan; Grand Rapids, Michigan; Burton, Michigan; Shelby Township, Michigan; Lansing, Michigan; and Alpine, Michigan",1,721,6 distinct places named,multiple,,,0.99,,staged,multiple,list of MI cities/townships
MD,"6811 Kenilworth Avenue Riverdale, MD 20737",4,718,no matching place,place,Riverdale,,0.99,,staged,did not resolve,"address in Riverdale, MD"
FL,KENNEDY SPACE CENTER,2,713,no matching place,county,Brevard County,Brevard County,0.99,,staged,county-level,"Kennedy Space Center is in Brevard County, FL"
CT,"West Hartford, Southington, Orange, Newington, Wilton, New London, North Haven, Enfield, Shelton, Danbury",1,702,6 distinct places named,multiple,,,0.99,,staged,multiple,List of 10 distinct places in CT
NY,Hogansburg,1,700,no matching place,county,Franklin County,Franklin County,0.95,,staged,county-level,"Hogansburg is an unincorporated community in Franklin County, NY"
WI,"West Bend, Port Washington",1,700,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places in WI
IN,Walesboro,1,694,no matching place,county,Bartholomew County,Bartholomew County,0.95,,staged,county-level,"Walesboro is an unincorporated community in Bartholomew County, IN"
IN,"Indianapolis, Wakarusa, Tipton, Sullivan, Rushville, Peru, LaGrange, and Huntington",1,691,8 distinct places named,multiple,,,0.99,,staged,multiple,List of 8 distinct places in IN
VA,"Fairfax, Franconia, Lorton, Alexandria & Falls church VA",1,691,5 distinct places named,multiple,,,0.99,,staged,multiple,List of 5 distinct places in VA
MI,"Grandville, Michigan; Livonia, Michigan; Rochester Hills, Michigan; and Clinton, Michigan",1,688,3 distinct places named,multiple,,,0.99,,staged,multiple,List of 4 distinct places in MI
WA,Seattle-Renton,1,684,no matching place,multiple,,,0.99,,staged,multiple,Names two distinct cities: Seattle and Renton
MI,"Bay City, Belleville, Brownstown, Burton, Detroit, Flint, Grand Blanc, Grand Rapids, Lake Orion, Lansing, Milford, Pontiac, Romulus, Saginaw, Swartz Creek, Warren, Waterford, Ypsilanti",1,664,16 distinct places named,multiple,,,0.99,,staged,multiple,Lists multiple places in Michigan
MI,"Bay City, Michigan; Belleville, Michigan; Brownstown, Michigan; Burton, Michigan; Detroit, Michigan; Flint, Michigan; Grand Blanc, Michigan; Grand Rapids, Michigan; Lake Orion, Michigan; Lansing, Michigan; Milford, Michigan; Pontiac, Michigan; Romulus, Michigan; Saginaw, Michigan; Swartz Creek, Michigan; Warren, Michigan; Waterford, Michigan; and Ypsilanti, Michigan",1,664,16 distinct places named,multiple,,,0.99,,staged,multiple,Lists multiple places in Michigan
AL,Coosa Pines,3,659,no matching place,county,Talladega County,Talladega County,0.9,,staged,county-level,Coosa Pines is an unincorporated community in Talladega County
WI,"Appleton, Brookfield, Green Bay, Madison, Onalaska, Milwaukee, Racine, and Janesville",2,652,8 distinct places named,multiple,,,1.0,,staged,multiple,8 distinct Wisconsin places
OH,Fairfield/Butler,7,650,2 distinct places named,multiple,,,1.0,,staged,multiple,Fairfield and Butler are separate places
WI,"Appleton, Brookfield, Eau Claire, Franklin, Green Bay, Janesville, Kenosha, Madison, Manitowoc, Menomonee Falls, Monona, Onalaska, Oshkosh, Racine, Rhinelander, Rice Lake, Waukesha, Wausau, Wauwatosa, West Allis, West Bend",1,639,21 distinct places named,multiple,,,1.0,,staged,multiple,21 distinct Wisconsin places
CA,Olympic Valley,1,637,no matching place,county,Placer County,Placer County,0.96,,staged,county-level,Olympic Valley is a CDP in Placer County
IN,EvansvilleIndianapolis,1,633,no matching place,multiple,,,1.0,,staged,multiple,two cities: Evansville and Indianapolis
AL,Eastaboga,2,623,no matching place,county,Talladega County,Talladega County,0.95,,staged,county-level,unincorporated community in Talladega County
CA,Moffett Field,9,617,no matching place,county,Santa Clara County,Santa Clara County,0.99,,staged,county-level,Moffett Field is an unincorporated area in Santa Clara County
AK,Girdwood,1,616,no matching place,place,Girdwood,,0.95,,staged,did not resolve,CDP in Alaska
WI,"Grafton, Saukville",3,612,2 distinct places named,multiple,,,0.99,,staged,multiple,two distinct places: Grafton and Saukville
MI,"Ann Arbor, Clinton Township, Dearborn, Grand Rapids, Lansing, Livonia, Rochester, and Troy, Counties: Ingham, Kent, Macomb, Oakland, Washtenaw and Wayne, Number Affected: 600",1,600,10 distinct places named,multiple,,,0.99,,staged,multiple,lists multiple cities and counties
WA,"Kent, Everett, Spokane",1,600,2 distinct places named,multiple,,,0.99,,staged,multiple,"three distinct places: Kent, Everett, Spokane"
LA,"116 Roy Baker Road LeMoyen, LA 71356",2,591,no matching place,place,LeMoyen,,0.85,,staged,did not resolve,"Village in St. Landry Parish, LA"
CO,Gilpin/Jefferson,2,587,no matching place,multiple,,,0.99,,staged,multiple,Names both Gilpin and Jefferson counties
FL,FL 32925,3,585,no place name in the string,county,Brevard County,Brevard County,0.8,,staged,county-level,ZIP 32925 corresponds to Patrick SFB in Brevard County
KY,"Harlan,Letcher, (Appalachia VA)",2,584,"address is in VA, not KY",multiple,,,0.99,,staged,multiple,"names Harlan County KY, Letcher County KY, and Appalachia VA"
WI,"De Pere, Watertown, Beloit, Racine, Kimberly, Kenosha, Monona, Marinette, Sheboygan, Delavan, Rhinelander",1,578,11 distinct places named,multiple,,,0.99,,staged,multiple,Eleven distinct places listed
NY,East Elmhurst,7,558,no matching place,county,Queens County,Queens County,0.9,,staged,county-level,"East Elmhurst is a neighborhood in Queens, New York City, which is coextensive with Queens County."
WI,"Chippewa Falls, Eau Claire, New Auburn",1,557,2 distinct places named,multiple,,,0.99,,staged,multiple,"Three distinct places: Chippewa Falls, Eau Claire, and New Auburn."
VA,Richmond & Glen Allen VA,2,553,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places: Richmond and Glen Allen.
WA,"Bellevue, Kirkland, Redmond, Seattle, Tukwila",1,545,5 distinct places named,multiple,,,0.99,,staged,multiple,"Five distinct places: Bellevue, Kirkland, Redmond, Seattle, Tukwila."
WI,"Oconomowoc, Watertown",1,542,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places: Oconomowoc and Watertown.
FL,CHAMPIONSGATE,1,541,no matching place,county,Osceola County,Osceola County,0.9,,staged,county-level,Championsgate is an unincorporated community in Osceola County
IN,"Albion, Avilla & Franklin",1,535,2 distinct places named,multiple,,,0.99,,staged,multiple,"lists three places: Albion, Avilla, and Franklin"
OH,"Steubenville, Martins Ferry, Yorkville (Jefferson & Belmont)",1,534,5 distinct places named,multiple,,,0.99,,staged,multiple,"lists multiple places, possibly including counties"
OH,Hamilton/Butler,8,532,2 distinct places named,multiple,,,0.99,,staged,multiple,Hamilton and Butler are two distinct places
WA,"Seattle, Bellevue, Redmond",3,532,3 distinct places named,multiple,,,0.99,,staged,multiple,three distinct cities
MI,New Hudson,5,531,no matching place,county,Oakland County,Oakland County,0.9,NY,staged,county-level,"New Hudson is an unincorporated community in Oakland County, Michigan"
WA,"Seattle, Pullman",1,531,2 distinct places named,multiple,,,0.99,,staged,multiple,Seattle and Pullman are two distinct cities
FL,PONTE VEDRA BEACH,4,528,no matching place,county,St. Johns County,St. Johns County,0.95,,staged,county-level,"Ponte Vedra Beach is an unincorporated community in St. Johns County, FL."
VA,"Fredericksburg, Virginia Beach, Newport News, Chesapeake & Hampton VA",1,524,5 distinct places named,multiple,,,0.99,,staged,multiple,"Five distinct places: Fredericksburg, Virginia Beach, Newport News, Chesapeake, Hampton."
CA,"Culver City, Baldwin Park, Montebello",1,517,3 distinct places named,multiple,,,0.99,,staged,multiple,"Three places: Culver City, Baldwin Park, Montebello."
IN,"Wakarusa, Milford, Warsaw",1,515,3 distinct places named,multiple,,,0.99,,staged,multiple,"Three places: Wakarusa, Milford, Warsaw."
WA,"Clarkston, Vancouver",1,508,2 distinct places named,multiple,,,0.99,,staged,multiple,Two places: Clarkston and Vancouver.
IN,"Merrillville, Schererville, Portage, Mishawaka, Lafayette, Clarksville, Jeffersonville, Evansville and Indianapolis",1,502,9 distinct places named,multiple,,,0.99,,staged,multiple,Nine distinct places listed.
MD,"23013 Cedar Point Road Bldg. 2118 Patuxent River, MD 20670",2,494,no matching place,county,St. Mary's County,St. Mary's County,0.95,,staged,county-level,Patuxent River is an unincorporated community in St. Mary's County
NJ,Bentonville,1,494,no matching place,place,Bentonville,,0.9,,staged,did not resolve,
MA,"Cambridge, Andover, Bedford, Boston, Northeast, Metro Southwest",1,493,3 distinct places named,multiple,,,0.99,,staged,multiple,Lists multiple places and regions
NY,Rego Park,5,488,no matching place,county,Queens County,Queens County,0.9,,staged,county-level,Rego Park is a neighborhood in Queens County
SC,Mount Holly,1,487,no matching place,county,Berkeley County,,0.7,,staged,below threshold 0.8,Mount Holly is an unincorporated community in Berkeley County
KY,Clark / Montgomery,2,484,no matching place,multiple,,,0.99,,staged,multiple,Refers to two counties
VA,Fairfax & Woodbridge VA,2,483,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places
CA,Mountain Pass,1,474,no matching place,county,San Bernardino County,San Bernardino County,0.99,,staged,county-level,Unincorporated community Mountain Pass
VA,Norfolk & Virginia Beach VA,4,474,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places: Norfolk and Virginia Beach
NJ,Fairfield,6,473,no matching place,place,Fairfield,,0.99,,staged,did not resolve,"Fairfield Township, NJ"
MD,"7555 Harmans Road Harmans, MD 21077",3,470,no matching place,county,Anne Arundel County,Anne Arundel County,0.99,,staged,county-level,"Census-designated place Harmans, unincorporated"
NJ,FAIRFIELD,5,468,no matching place,place,Fairfield,,0.99,,staged,did not resolve,"Fairfield Township, NJ"
NJ,Salisbury,1,460,no matching place,county,Middlesex County,Middlesex County,0.99,"CT,MA,MD,MO,NC,NH,NY,OH,PA,VT",staged,county-level,Unincorporated community Salisbury
VA,"Herndon, Woodbridge, Clifton, Springfield, Fairfax, Arlington & Vienna VA",1,455,6 distinct places named,multiple,,,0.99,,staged,multiple,lists multiple places in VA
IN,Mishawaka and Indianapolis,1,452,2 distinct places named,multiple,,,0.99,,staged,multiple,two places in IN
MI,"Fruitport, Michigan and Southfield, Michigan",1,451,2 distinct places named,multiple,,,0.99,,staged,multiple,two places in MI
OH,"Conneaut (Ashtabula), Grafton (Lorain)",1,446,4 distinct places named,multiple,,,0.99,,staged,multiple,two places in OH with county references
CT,"Stamford, Greenwich, Riverside, New Canaan, Old Lyme, New Canaan, Newington, Mystic, Newington, Waterford, Riverside, Ridgefield, Danbury, Bristol",1,444,10 distinct places named,multiple,,,0.99,,staged,multiple,lists multiple places in CT
NY,Howard Beach,6,443,no matching place,county,Queens County,Queens County,0.95,,staged,county-level,"Howard Beach is a neighborhood in Queens, not an incorporated place"
WA,"Everett, Seattle, Tacoma, E. Wenatchee, Union Gap, Pasco, Spokane",1,437,6 distinct places named,multiple,,,0.99,,staged,multiple,7 distinct places listed
FL,Cantonment,5,434,no matching place,county,Escambia County,Escambia County,0.9,,staged,county-level,Cantonment is a CDP in Escambia County
WI,Delevan,2,431,no matching place,place,Delavan,,0.7,,staged,below threshold 0.8,"Likely misspelling of Delavan, WI"
GA,Kings Bay,3,427,no matching place,county,Camden County,Camden County,0.95,,staged,county-level,Kings Bay is a military base in Camden County
LA,"2650 Louisiana Ave., Building 4386 Fort Polk, LA 71459",1,426,no matching place,county,Vernon Parish,Vernon Parish,0.9,,staged,county-level,Fort Polk is a military base in Vernon Parish
MI,"Dearborn Heights, Detroit, Ecorse, Ferndale, Flint, Highland Park, Livonia, Royal Oak, Southfield, Walled Lake, Warren, Whitmore Lake",1,424,12 distinct places named,multiple,,,0.99,,staged,multiple,12 distinct places listed
NY,"Westbury, Massapequa & Islandia",1,421,3 distinct places named,multiple,,,0.99,,staged,multiple,3 distinct places listed
MA,"Leominster, Webster & Worcester, MA, Central",4,420,2 distinct places named,multiple,,,0.99,,staged,multiple,Three distinct places named
OH,Cleveland and Brooklyn,1,420,2 distinct places named,multiple,,,0.99,,staged,multiple,Two distinct places named
MI,Waterford,3,410,no matching place,place,Waterford,,0.9,,staged,did not resolve,"Waterford Township, MI"
WA,"Everett, Tukwila, Tacoma, Bellevue, Seattle",1,401,5 distinct places named,multiple,,,0.99,,staged,multiple,"Everett, Tukwila, Tacoma, Bellevue, Seattle"
MI,"Saranac, Michigan and Lake Odessa, Michigan",1,400,2 distinct places named,multiple,,,0.99,,staged,multiple,Saranac and Lake Odessa
SD,Sioux Falls /Garretson,1,400,2 distinct places named,multiple,,,0.99,,staged,multiple,Sioux Falls and Garretson
MD,"Maryland House Travel Plaza, I-95, JFK Memorial Highway, Mile Markers 82, Aberdeen, MD & Chesapeake House Travel Plaza, I-95, JFK Memorial Highway, Mile Marker 96.5, North East, MD",1,396,2 distinct places named,multiple,,,0.99,,staged,multiple,Aberdeen and North East
NJ,Haskell,2,385,no matching place,county,Passaic County,Passaic County,0.95,"AR,KS,OK,TX",staged,county-level,Haskell is an unincorporated community in Passaic County
NJ,"Somers Point, Edgewater Park, North Cape May, Toms River, Clifton, Brickton, South Plainfield, West Deptford, Sicklerville, Middletown, Dover, Barnegat, Cape May Court House, Lumberton, Millville, Hamilton",1,385,10 distinct places named,multiple,,,0.99,,staged,multiple,16 distinct places named
VA,"Charlottesville, Harrisonburg, Waynesboro, Lynchburg & Danville VA",1,384,5 distinct places named,multiple,,,0.99,,staged,multiple,5 distinct places named
CA,EL TORO,5,372,no matching place,county,Orange County,Orange County,0.8,,staged,county-level,"El Toro is an unincorporated community in Orange County, CA"
WI,"Deforest, Franklin, Green Bay, Janesville, Kenosha, Onalaska, Rothschild, Waukesha, West Baraboo",1,371,9 distinct places named,multiple,,,0.99,,staged,multiple,"9 distinct places: Deforest, Franklin, Green Bay, Janesville, Kenosha, Onalaska, Rothschild, Waukesha, West Baraboo"
IN,"Valparaiso, Franklin and Hanover",1,365,2 distinct places named,multiple,,,0.99,,staged,multiple,"3 distinct places: Valparaiso, Franklin, Hanover"
MA,Boston & Somerville,1,364,2 distinct places named,multiple,,,0.99,,staged,multiple,2 distinct places: Boston and Somerville
MD,"1020A Airport 100 Way Hanover, MD 21076",1,362,no matching place,county,Anne Arundel County,Anne Arundel County,0.8,"AL,IL,IN,KS,MA,ME,MI,MN,NE,NH,NJ,NM,NY,OH,PA,VA,WI",staged,county-level,"Address in Hanover, an unincorporated community in Anne Arundel County, MD"
VA,Oakwood VA,3,362,no matching place,place,Oakwood,,0.9,,staged,did not resolve,Oakwood is an incorporated town in Virginia
CA,Paso Robles,5,361,no matching place,place,Paso Robles,,0.99,,staged,did not resolve,city in CA
MD,"7401 Coca Cola Drive, Hanover, MD 20176",1,361,no matching place,county,Anne Arundel County,Anne Arundel County,0.85,"AL,IL,IN,KS,MA,ME,MI,MN,NE,NH,NJ,NM,NY,OH,PA,VA,WI",staged,county-level,Hanover is an unincorporated community in Anne Arundel County
MI,"Novi, Michigan; Southfield, Michigan; and Taylor, Michigan",1,360,3 distinct places named,multiple,,,0.99,,staged,multiple,"Lists Novi, Southfield, and Taylor, Michigan"
SC,Columbia/Greer,1,359,2 distinct places named,multiple,,,0.99,,staged,multiple,"Lists Columbia and Greer, South Carolina"
CA,"Fremont, Pleasanton",1,350,2 distinct places named,multiple,,,0.99,,staged,multiple,"two distinct places: Fremont and Pleasanton, CA"
VA,Sweet Briar VA,1,344,no matching place,county,Amherst County,Amherst County,0.98,,staged,county-level,"unincorporated community in Amherst County, VA"
GA,Fort Gordon,3,343,no matching place,county,Richmond County,Richmond County,0.99,,staged,county-level,Military base Fort Gordon
CA,"Cupertino, Palo Alto, San Bruno",1,342,3 distinct places named,multiple,,,0.99,,staged,multiple,"three distinct places: Cupertino, Palo Alto, San Bruno, CA"
KY,"Jefferson, Bullitt, Shelby",2,338,no matching place,multiple,,,0.99,,staged,multiple,"three distinct counties: Jefferson, Bullitt, Shelby, KY"
NY,College Point,4,338,no matching place,county,Queens County,Queens County,0.98,,staged,county-level,"neighborhood in Queens County, NY"
AL,Chapman,2,335,no matching place,county,Butler County,Butler County,0.8,"KS,ME,NE,PA",staged,county-level,unincorporated community
CA,KORBEL,3,335,no matching place,county,Humboldt County,Humboldt County,0.9,,staged,county-level,unincorporated community
WA,"Westport, Port Angeles, Seattle",1,335,3 distinct places named,multiple,"Westport, Port Angeles, Seattle",,0.99,,staged,multiple,3 distinct places
LA,"2650 Louisiana Ave.bldg 4386 Fort Polk, LA 71459",1,332,no matching place,place,Fort Polk,,0.9,,staged,did not resolve,military base CDP
PA,"Somerset County, PA; Garrett County, MD",1,332,"address is in MD, not PA",multiple,,,0.99,,staged,multiple,names Somerset County PA and Garrett County MD
